"submitted_name_rl","scientificname","rl1998","rl2018","trend","L","T","C","M","R","N"
"Achillea millefolium agg.","Achillea millefolium agg.","nb","*","=",7,5,NA,5,6,5
"Achillea ptarmica agg.","Achillea ptarmica agg.","nb","*","<",NA,NA,NA,NA,NA,NA
"Aconitum napellus agg.","Aconitum napellus agg.","nb","*","<",6,3,NA,7,6,6
"Aconitum variegatum agg.","Aconitum variegatum agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Agrostis alpina agg.","Agrostis alpina agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Agrostis canina agg.","Agrostis canina agg.","nb","V","<",7,6,NA,6,3,2
"Agrostis stolonifera agg.","Agrostis stolonifera agg.","nb","*","=",7,5,NA,7,6,5
"Alchemilla alpina agg.","Alchemilla alpina agg.","nb","R","?",NA,NA,NA,NA,NA,NA
"Alchemilla conjuncta agg.","Alchemilla conjuncta agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Alchemilla fissa agg.","Alchemilla fissa agg.","nb","*","?",NA,NA,NA,NA,NA,NA
"Alchemilla hybrida agg.","Alchemilla hybrida agg.","nb","3","<<",NA,NA,NA,NA,NA,NA
"Alchemilla splendens agg.","Alchemilla splendens agg.","nb","R","?",NA,NA,NA,NA,NA,NA
"Alchemilla vulgaris agg.","Alchemilla vulgaris agg.","nb","*","<",NA,NA,NA,NA,NA,NA
"Alchemilla aggregata Buser","Alchemilla aggregata Buser","kN","R","?",NA,NA,NA,NA,NA,NA
"Alisma plantago-aquatica agg.","Alisma plantago-aquatica agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Amaranthus blitum agg.","Amaranthus blitum agg.","nb","3","<",NA,NA,NA,NA,NA,NA
"Amaranthus hybridus agg.","Amaranthus hybridus agg.","nb","nb",NA,8,8,5,4,7,7
"Anthoxanthum odoratum agg.","Anthoxanthum odoratum agg.","nb","*","<",7,4,NA,5,3,4
"Anthriscus sylvestris agg.","Anthriscus sylvestris agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Aquilegia vulgaris agg.","Aquilegia vulgaris agg.","nb","V","<",NA,NA,NA,NA,NA,NA
"Arabis alpina agg.","Arabis alpina agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Arabis bellidifolia agg.","Arabis bellidifolia agg.","*","*","=",NA,NA,NA,NA,NA,NA
"Arabis hirsuta agg.","Arabis hirsuta agg.","nb","*","=",7,6,NA,4,7,5
"Arctium minus agg.","Arctium minus agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Arenaria serpyllifolia agg.","Arenaria serpyllifolia agg.","nb","*","=",8,5,NA,4,7,4
"Artemisia vulgaris agg.","Artemisia vulgaris agg.","nb","*","=",7,6,NA,5,6,8
"Arum maculatum agg.","Arum maculatum agg.","nb","*","=",3,6,2,7,7,8
"Asplenium adiantum-nigrum agg.","Asplenium adiantum-nigrum agg.","nb","3","<",NA,NA,NA,NA,NA,NA
"Atriplex prostrata agg.","Atriplex prostrata agg.","nb","*",">",NA,NA,NA,NA,NA,NA
"Blackstonia perfoliata agg.","Blackstonia perfoliata agg.","nb","2","<",NA,NA,NA,NA,NA,NA
"Bolboschoenus maritimus agg.","Bolboschoenus maritimus agg.","*","*","=",8,6,NA,10,8,6
"Brachypodium pinnatum agg.","Brachypodium pinnatum agg.","nb","*","=",6,6,NA,4,7,4
"Bromus hordeaceus agg.","Bromus hordeaceus agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Bromus racemosus agg.","Bromus racemosus agg.","nb","G","(<)",7,6,NA,8,6,5
"Bromus ramosus agg.","Bromus ramosus agg.","nb","*","=",5,5,NA,5,7,6
"Bromus secalinus agg.","Bromus secalinus agg.","nb","*","(<)",NA,NA,NA,NA,NA,NA
"Calamagrostis canescens agg.","Calamagrostis canescens agg.","nb","*","<",NA,NA,NA,NA,NA,NA
"Calamintha nepeta agg.","Calamintha nepeta agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Callitriche palustris agg.","Callitriche palustris agg.","nb","*","=",7,5,NA,10,5,6
"Calystegia sepium agg.","Calystegia sepium agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Camelina sativa agg.","Camelina sativa agg.","nb","V","<",NA,NA,NA,NA,NA,NA
"Campanula rotundifolia agg.","Campanula rotundifolia agg.","nb","*","<",7,5,NA,4,5,3
"Cardamine pratensis agg.","Cardamine pratensis agg.","nb","*","<",7,5,NA,8,6,6
"Carex acuta agg.","Carex acuta agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Carex arenaria agg.","Carex arenaria agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Carex atrata agg.","Carex atrata agg.","nb","*","=",8,2,NA,6,4,2
"Carex buxbaumii agg.","Carex buxbaumii agg.","nb","2","<<",7,5,NA,8,7,4
"Carex canescens agg.","Carex canescens agg.","nb","*","<",NA,NA,NA,NA,NA,NA
"Carex flava agg.","Carex flava agg.","nb","*","<",8,5,NA,9,7,2
"Carex muricata agg.","Carex muricata agg.","nb","*","=",5,5,NA,5,6,5
"Carex praecox agg.","Carex praecox agg.","nb","V","<",8,6,NA,4,6,4
"Carex vulpina agg.","Carex vulpina agg.","nb","*","<",8,6,NA,8,7,6
"Carlina vulgaris agg.","Carlina vulgaris agg.","nb","*","<",8,5,NA,4,7,3
"Centaurea jacea agg.","Centaurea jacea agg.","nb","*","<",7,5,NA,5,6,5
"Centaurea paniculata agg.","Centaurea paniculata agg.","nb","*","=",8,7,6,2,8,3
"Centaurea phrygia agg.","Centaurea phrygia agg.","nb","3","<",7,5,NA,5,6,4
"Cerastium fontanum agg.","Cerastium fontanum agg.","nb","*","=",7,5,NA,5,6,6
"Cerastium pumilum agg.","Cerastium pumilum agg.","nb","*","=",8,7,4,2,8,2
"Chaerophyllum hirsutum agg.","Chaerophyllum hirsutum agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Chenopodium album agg.","Chenopodium album agg.","nb","*",">",7,6,NA,5,6,7
"Chenopodium rubrum agg.","Chenopodium rubrum agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Cochlearia officinalis agg.","Cochlearia officinalis agg.","nb","3","<",8,6,NA,7,7,6
"Cystopteris fragilis agg.","Cystopteris fragilis agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Dactylis glomerata agg.","Dactylis glomerata agg.","nb","*","=",6,5,NA,5,6,6
"Dactylorhiza incarnata agg.","Dactylorhiza incarnata agg.","nb","3","<<",NA,NA,NA,NA,NA,NA
"Dactylorhiza maculata agg.","Dactylorhiza maculata agg.","3","V","<<",6,4,NA,7,5,3
"Dactylorhiza majalis agg.","Dactylorhiza majalis agg.","nb","V","<",NA,NA,NA,NA,NA,NA
"Deschampsia cespitosa agg.","Deschampsia cespitosa agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Dianthus carthusianorum agg.","Dianthus carthusianorum agg.","nb","V","(<)",8,6,NA,3,7,3
"Diphasiastrum complanatum agg.","Diphasiastrum complanatum agg.","nb","2","<<",5,4,NA,5,2,2
"Draba verna agg.","Draba verna agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Dryopteris carthusiana agg.","Dryopteris carthusiana agg.","nb","*","=",4,4,NA,6,4,6
"Dryopteris filix-mas agg.","Dryopteris filix-mas agg.","nb","*","=",3,5,NA,5,5,6
"Eleocharis palustris agg.","Eleocharis palustris agg.","nb","*","(<)",8,6,NA,10,6,6
"Empetrum nigrum agg.","Empetrum nigrum agg.","nb","V","<",7,3,NA,6,2,2
"Epipactis helleborine agg.","Epipactis helleborine agg.","nb","*","=",4,5,NA,5,7,5
"Erigeron alpinus agg.","Erigeron alpinus agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Erodium cicutarium agg.","Erodium cicutarium agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Erysimum hieraciifolium agg.","Erysimum hieraciifolium agg.","nb","D","?",NA,NA,NA,NA,NA,NA
"Euphorbia esula agg.","Euphorbia esula agg.","nb","*","=",8,6,NA,4,7,4
"Euphrasia minima agg.","Euphrasia minima agg.","nb","*","=",NA,NA,NA,NA,NA,NA
"Euphrasia nemorosa agg.","Euphrasia nemorosa agg.","nb","3","<<",7,5,NA,5,3,2
"Euphrasia officinalis agg.","Euphrasia officinalis agg.","nb","3","<<",NA,NA,NA,NA,NA,NA
"Festuca ovina agg.","Festuca ovina agg.","nb","*","<",8,5,NA,3,5,2
"Festuca rubra agg.","Festuca rubra agg.","nb","*","=",NA,NA,NA,NA,NA,NA
